SC2CODE,Value
ASM-11,17
ASM-12,28
ASM-13,60
ASM-14,22
ASM-15,67
ASM-21,99
ASM-22,56
ASM-23,65
ASM-24,2
ASM-25,89
ASM-31,49
ASM-32,94
ASM-41,47
ASM-42,78
ASM-43,85
ASM-44,99
COK-04,53
COK-10,94
COK-08,66
COK-11,5
COK-05,74
COK-09,64
COK-06,80
COK-02,13
COK-12,26
COK-13,78
COK-14,8
COK-03,69
COK-01,22
FJI-1,30
FJI-10,83
FJI-11,26
FJI-12,42
FJI-13,10
FJI-14,33
FJI-15,15
FJI-2,12
FJI-3,59
FJI-4,97
FJI-5,93
FJI-6,13
FJI-7,4
FJI-8,90
FJI-9,35
KIR-1,2
KIR-2,65
KIR-5,72
KIR-8,89
KIR-9,51
KIR-10,16
KIR-11,64
KIR-12,33
KIR-13,4
KIR-14,52
KIR-15,66
KIR-16,64
KIR-17,4
KIR-19,43
KIR-18,9
KIR-3,44
KIR-6,76
KIR-23,76
KIR-20,87
KIR-4,37
KIR-21,96
KIR-7,65
KIR-22,81
PLW-6,37
PLW-2,3
PLW-13,36
PLW-12,37
PLW-1,20
PLW-7,49
PLW-11,46
PLW-14,14
PLW-10,42
PLW-8,93
PLW-9,14
PLW-15,65
PLW-3,22
PLW-16,68
PLW-4,65
PLW-5,35
PNG-11,96
PNG-12,9
PNG-13,80
PNG-21,46
PNG-22,72
PNG-23,34
PNG-24,84
PNG-31,58
PNG-32,53
PNG-33,73
PNG-34,70
PNG-35,91
PNG-36,9
PNG-41,100
PNG-42,91
PNG-43,86
PNG-44,32
PNG-51,56
PNG-52,95
PNG-53,47
PNG-54,39
PNG-55,34
PNG-56,69
PNG-61,97
PNG-62,61
PNG-63,63
PNG-64,16
PNG-65,29
PNG-66,42
PNG-67,56
PNG-68,60
PNG-71,13
PNG-72,8
PNG-73,82
PNG-74,21
PNG-75,86
PNG-81,31
PNG-82,73
PNG-91,13
PNG-92,3
PNG-93,54
PNG-101,50
PNG-102,18
PNG-103,56
PNG-111,21
PNG-112,41
PNG-113,51
PNG-114,76
PNG-115,86
PNG-116,68
PNG-121,65
PNG-131,44
PNG-132,19
PNG-133,27
PNG-134,59
PNG-141,46
PNG-142,16
PNG-143,20
PNG-144,41
PNG-145,43
PNG-146,37
PNG-147,94
PNG-148,66
PNG-149,86
PNG-151,65
PNG-161,40
PNG-162,38
PNG-171,8
PNG-172,55
PNG-181,45
PNG-182,95
PNG-183,22
PNG-184,93
PNG-191,8
PNG-192,1
PNG-193,82
PNG-194,59
PNG-195,9
PNG-201,43
PNG-202,12
PNG-221,42
PNG-222,63
PNG-223,69
PNG-211,67
PNG-212,1
PNG-213,46
PNG-214,34
SLB-101,44
SLB-102,63
SLB-103,43
SLB-1041,46
SLB-1042,25
SLB-1043,70
SLB-204,62
SLB-205,37
SLB-206,58
SLB-207,44
SLB-208,31
SLB-209,67
SLB-210,83
SLB-211,73
SLB-212,48
SLB-313,82
SLB-314,10
SLB-315,93
SLB-430,73
SLB-431,7
SLB-532,81
SLB-633,9
SLB-634,82
SLB-635,73
SLB-636,55
SLB-637,42
SLB-638,90
SLB-639,60
SLB-640,63
SLB-716,60
SLB-717,82
SLB-718,47
SLB-719,1
SLB-720,58
SLB-721,78
SLB-722,90
SLB-723,59
SLB-724,78
SLB-725,88
SLB-726,21
SLB-727,3
SLB-728,86
SLB-729,5
SLB-844,60
SLB-845,16
SLB-846,51
SLB-847,95
SLB-948,39
SLB-949,44
SLB-950,47
TON-21,75
TON-22,24
TON-26,9
TON-25,9
TON-24,94
TON-23,32
TON-31,88
TON-32,34
TON-36,34
TON-35,59
TON-33,10
TON-34,62
TON-41,23
TON-42,54
TON-17,24
TON-16,38
TON-12,54
TON-11,1
TON-13,32
TON-14,60
TON-51,57
TON-52,48
TON-15,40
VUT-43,3
VUT-26,66
VUT-64,51
VUT-63,96
VUT-46,60
VUT-67,9
VUT-65,39
VUT-66,23
VUT-52,42
VUT-51,8
VUT-48,2
VUT-49,90
VUT-50,97
VUT-44,12
VUT-29,99
VUT-30,27
VUT-31,36
VUT-34,64
VUT-35,80
VUT-37,89
VUT-38,17
VUT-40,60
VUT-28,49
VUT-27,51
VUT-22,53
VUT-24,93
VUT-19,99
VUT-71,14
VUT-18,9
VUT-17,5
VUT-21,70
VUT-14,16
VUT-13,81
VUT-12,13
VUT-11,86
VUT-10,16
VUT-06,28
VUT-08,55
VUT-09,7
VUT-01,40
VUT-41,84
VUT-33,84
VUT-32,19
VUT-45,13
VUT-54,25
VUT-60,38
VUT-57,58
VUT-55,60
VUT-59,15
VUT-58,75
VUT-04,69
VUT-05,62
VUT-20,91
VUT-47,29
VUT-42,98
VUT-07,89
VUT-23,38
VUT-25,48
VUT-72,6
VUT-62,20
VUT-56,9
VUT-53,90
VUT-03,57
VUT-02,75
VUT-76,90
VUT-39,55
VUT-73,83
