SPC_COUNTRY_ID,SDG_UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,REPORTING_TYPE,NATURE,SOURCE_DETAIL
CK,INDEX,2016,55.8,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)"
FM,INDEX,2017,85.6,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)"
FJ,INDEX,2014,98.2,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)"
KI,INDEX,2014,60.1,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)"
MH,INDEX,2018,50.8,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
NR,INDEX,2014,41.8,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)"
NU,INDEX,2014,60.8,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
PW,INDEX,2016,91.5,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
PG,INDEX,2014,64.2,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
WS,INDEX,2015,75.5,G,_X,Samoa Ministry of Health - National Health Surveillance and IHR Report - Global Health Observatory (GHO)
SB,INDEX,2015,56.8,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
TO,INDEX,2013,73.9,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
TV,INDEX,2017,54,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
VU,INDEX,2017,34.7,G,_X,"Global Health Observatory (GHO), World Health Organisation (WHO)."
